Elapsed_s,Generated_W,Consumed_W,Net_W,Illumination
172800.0,38.25,30.775,7.475000000000001,1.0
176400.0,38.25,30.775,7.475000000000001,1.0
180000.0,38.25,30.775,7.475000000000001,1.0
183600.0,38.25,30.775,7.475000000000001,1.0
187200.0,38.25,30.775,7.475000000000001,1.0
190800.0,38.25,30.775,7.475000000000001,1.0
194400.0,38.25,30.775,7.475000000000001,1.0
198000.0,38.25,30.775,7.475000000000001,1.0
201600.0,38.25,30.775,7.475000000000001,1.0
205200.0,38.25,30.775,7.475000000000001,1.0
208800.0,38.25,30.775,7.475000000000001,1.0
212400.0,38.25,30.775,7.475000000000001,1.0
216000.0,38.25,30.775,7.475000000000001,1.0
219600.0,38.25,30.775,7.475000000000001,1.0
223200.0,38.25,30.775,7.475000000000001,1.0
226800.0,38.25,30.775,7.475000000000001,1.0
230400.0,38.25,30.775,7.475000000000001,1.0
234000.0,38.25,30.775,7.475000000000001,1.0
237600.0,38.25,30.775,7.475000000000001,1.0
241200.0,19.125,30.775,-11.649999999999999,0.5
244800.0,38.25,30.775,7.475000000000001,1.0
248400.0,38.25,30.775,7.475000000000001,1.0
252000.0,19.125,30.775,-11.649999999999999,0.5
255600.0,38.25,30.775,7.475000000000001,1.0
259200.0,38.25,30.775,7.475000000000001,1.0
262800.0,19.125,30.775,-11.649999999999999,0.5
266400.0,38.25,30.775,7.475000000000001,1.0
270000.0,38.25,30.775,7.475000000000001,1.0
273600.0,19.125,30.775,-11.649999999999999,0.5
277200.0,38.25,30.775,7.475000000000001,1.0
280800.0,38.25,30.775,7.475000000000001,1.0
284400.0,38.25,30.775,7.475000000000001,1.0
288000.0,38.25,30.775,7.475000000000001,1.0
291600.0,38.25,30.775,7.475000000000001,1.0
295200.0,38.25,30.775,7.475000000000001,1.0
298800.0,38.25,30.775,7.475000000000001,1.0
302400.0,38.25,30.775,7.475000000000001,1.0
306000.0,38.25,30.775,7.475000000000001,1.0
309600.0,38.25,30.775,7.475000000000001,1.0
313200.0,38.25,30.775,7.475000000000001,1.0
316800.0,38.25,30.775,7.475000000000001,1.0
320400.0,38.25,30.775,7.475000000000001,1.0
324000.0,38.25,30.775,7.475000000000001,1.0
327600.0,38.25,30.775,7.475000000000001,1.0
331200.0,38.25,30.775,7.475000000000001,1.0
334800.0,38.25,30.775,7.475000000000001,1.0
338400.0,38.25,30.775,7.475000000000001,1.0
342000.0,38.25,30.775,7.475000000000001,1.0
345600.0,38.25,30.775,7.475000000000001,1.0
349200.0,38.25,30.775,7.475000000000001,1.0
352800.0,38.25,30.775,7.475000000000001,1.0
356400.0,38.25,30.775,7.475000000000001,1.0
360000.0,38.25,30.775,7.475000000000001,1.0
363600.0,38.25,30.775,7.475000000000001,1.0
367200.0,38.25,30.775,7.475000000000001,1.0
370800.0,38.25,30.775,7.475000000000001,1.0
374400.0,38.25,30.775,7.475000000000001,1.0
378000.0,38.25,30.775,7.475000000000001,1.0
381600.0,38.25,30.775,7.475000000000001,1.0
385200.0,38.25,30.775,7.475000000000001,1.0
388800.0,38.25,30.775,7.475000000000001,1.0
392400.0,38.25,30.775,7.475000000000001,1.0
396000.0,38.25,30.775,7.475000000000001,1.0
399600.0,38.25,30.775,7.475000000000001,1.0
403200.0,38.25,30.775,7.475000000000001,1.0
406800.0,38.25,30.775,7.475000000000001,1.0
410400.0,38.25,30.775,7.475000000000001,1.0
414000.0,38.25,30.775,7.475000000000001,1.0
417600.0,38.25,30.775,7.475000000000001,1.0
421200.0,38.25,30.775,7.475000000000001,1.0
424800.0,38.25,30.775,7.475000000000001,1.0
428400.0,38.25,30.775,7.475000000000001,1.0
432000.0,38.25,30.775,7.475000000000001,1.0
435600.0,38.25,30.775,7.475000000000001,1.0
439200.0,19.125,30.775,-11.649999999999999,0.5
442800.0,38.25,30.775,7.475000000000001,1.0
446400.0,38.25,30.775,7.475000000000001,1.0
450000.0,19.125,30.775,-11.649999999999999,0.5
453600.0,38.25,30.775,7.475000000000001,1.0
457200.0,38.25,30.775,7.475000000000001,1.0
460800.0,19.125,30.775,-11.649999999999999,0.5
464400.0,38.25,30.775,7.475000000000001,1.0
468000.0,38.25,30.775,7.475000000000001,1.0
471600.0,19.125,30.775,-11.649999999999999,0.5
475200.0,38.25,30.775,7.475000000000001,1.0
478800.0,38.25,30.775,7.475000000000001,1.0
482400.0,38.25,30.775,7.475000000000001,1.0
486000.0,38.25,30.775,7.475000000000001,1.0
489600.0,38.25,30.775,7.475000000000001,1.0
493200.0,38.25,30.775,7.475000000000001,1.0
496800.0,38.25,30.775,7.475000000000001,1.0
500400.0,38.25,30.775,7.475000000000001,1.0
504000.0,38.25,30.775,7.475000000000001,1.0
507600.0,38.25,30.775,7.475000000000001,1.0
511200.0,38.25,30.775,7.475000000000001,1.0
514800.0,38.25,30.775,7.475000000000001,1.0
518400.0,38.25,30.775,7.475000000000001,1.0
522000.0,38.25,30.775,7.475000000000001,1.0
525600.0,38.25,30.775,7.475000000000001,1.0
529200.0,38.25,30.775,7.475000000000001,1.0
532800.0,38.25,30.775,7.475000000000001,1.0
536400.0,38.25,30.775,7.475000000000001,1.0
540000.0,38.25,30.775,7.475000000000001,1.0
543600.0,38.25,30.775,7.475000000000001,1.0
547200.0,38.25,30.775,7.475000000000001,1.0
550800.0,38.25,30.775,7.475000000000001,1.0
554400.0,38.25,30.775,7.475000000000001,1.0
558000.0,38.25,30.775,7.475000000000001,1.0
561600.0,38.25,30.775,7.475000000000001,1.0
565200.0,38.25,30.775,7.475000000000001,1.0
568800.0,38.25,30.775,7.475000000000001,1.0
572400.0,38.25,30.775,7.475000000000001,1.0
576000.0,38.25,30.775,7.475000000000001,1.0
579600.0,38.25,30.775,7.475000000000001,1.0
583200.0,19.125,30.775,-11.649999999999999,0.5
586800.0,38.25,30.775,7.475000000000001,1.0
590400.0,38.25,30.775,7.475000000000001,1.0
594000.0,0.0,30.775,-30.775,0.0
597600.0,38.25,30.775,7.475000000000001,1.0
601200.0,38.25,30.775,7.475000000000001,1.0
604800.0,0.0,30.775,-30.775,0.0
608400.0,38.25,30.775,7.475000000000001,1.0
612000.0,38.25,30.775,7.475000000000001,1.0
615600.0,19.125,30.775,-11.649999999999999,0.5
619200.0,38.25,30.775,7.475000000000001,1.0
622800.0,38.25,30.775,7.475000000000001,1.0
626400.0,38.25,30.775,7.475000000000001,1.0
630000.0,38.25,30.775,7.475000000000001,1.0
633600.0,38.25,30.775,7.475000000000001,1.0
637200.0,38.25,30.775,7.475000000000001,1.0
640800.0,38.25,30.775,7.475000000000001,1.0
644400.0,38.25,30.775,7.475000000000001,1.0
648000.0,38.25,30.775,7.475000000000001,1.0
651600.0,38.25,30.775,7.475000000000001,1.0
655200.0,38.25,30.775,7.475000000000001,1.0
658800.0,38.25,465.775,-427.525,1.0
662400.0,38.25,30.775,7.475000000000001,1.0
666000.0,38.25,30.775,7.475000000000001,1.0
669600.0,38.25,30.775,7.475000000000001,1.0
673200.0,38.25,30.775,7.475000000000001,1.0
676800.0,38.25,30.775,7.475000000000001,1.0
680400.0,38.25,30.775,7.475000000000001,1.0
684000.0,38.25,30.775,7.475000000000001,1.0
687600.0,38.25,30.775,7.475000000000001,1.0
691200.0,38.25,30.775,7.475000000000001,1.0
694800.0,19.125,30.775,-11.649999999999999,0.5
698400.0,38.25,30.775,7.475000000000001,1.0
702000.0,38.25,30.775,7.475000000000001,1.0
705600.0,0.0,30.775,-30.775,0.0
709200.0,38.25,30.775,7.475000000000001,1.0
712800.0,38.25,30.775,7.475000000000001,1.0
716400.0,0.0,30.775,-30.775,0.0
720000.0,38.25,30.775,7.475000000000001,1.0
723600.0,38.25,30.775,7.475000000000001,1.0
727200.0,19.125,30.775,-11.649999999999999,0.5
730800.0,38.25,30.775,7.475000000000001,1.0
734400.0,38.25,30.775,7.475000000000001,1.0
738000.0,38.25,30.775,7.475000000000001,1.0
741600.0,38.25,30.775,7.475000000000001,1.0
745200.0,38.25,30.775,7.475000000000001,1.0
748800.0,38.25,30.775,7.475000000000001,1.0
752400.0,38.25,30.775,7.475000000000001,1.0
756000.0,38.25,30.775,7.475000000000001,1.0
759600.0,38.25,30.775,7.475000000000001,1.0
763200.0,38.25,30.775,7.475000000000001,1.0
766800.0,38.25,30.775,7.475000000000001,1.0
770400.0,38.25,30.775,7.475000000000001,1.0
774000.0,38.25,30.775,7.475000000000001,1.0
777600.0,38.25,30.775,7.475000000000001,1.0
781200.0,38.25,30.775,7.475000000000001,1.0
784800.0,0.0,30.775,-30.775,0.0
788400.0,38.25,30.775,7.475000000000001,1.0
792000.0,38.25,30.775,7.475000000000001,1.0
795600.0,0.0,30.775,-30.775,0.0
799200.0,38.25,30.775,7.475000000000001,1.0
802800.0,38.25,30.775,7.475000000000001,1.0
806400.0,0.0,30.775,-30.775,0.0
810000.0,38.25,30.775,7.475000000000001,1.0
